horizontal_flip {'p': 0}
Round: 5 Accuracy: 0.684
Round: 5 f1_score: 0.6802706771786113
Round: 5 average_Acc_f1: 0.6821353385893056


Round: 10 Accuracy: 0.72
Round: 10 f1_score: 0.71760984976844
Round: 10 average_Acc_f1: 0.71880492488422


Round: 20 Accuracy: 0.752
Round: 20 f1_score: 0.7502376770492596
Round: 20 average_Acc_f1: 0.7511188385246298


Round: 50 Accuracy: 0.65
Round: 50 f1_score: 0.6460227111828505
Round: 50 average_Acc_f1: 0.6480113555914253


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.488
Round: 1000 f1_score: 0.39503932244404116
Round: 1000 average_Acc_f1: 0.4415196612220206


seed: 44, noise_scale: 1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.674
Round: 5 f1_score: 0.6628316350804032
Round: 5 average_Acc_f1: 0.6684158175402016


Round: 10 Accuracy: 0.694
Round: 10 f1_score: 0.6835168108423417
Round: 10 average_Acc_f1: 0.6887584054211708


Round: 20 Accuracy: 0.776
Round: 20 f1_score: 0.7755654947979288
Round: 20 average_Acc_f1: 0.7757827473989645


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
