horizontal_flip {'p': 0}
Round: 2 average_Acc_f1: 0.6637307692307692


Round: 5 Accuracy: 0.626
Round: 5 f1_score: 0.5839248127661657
Round: 5 average_Acc_f1: 0.6049624063830829


Round: 10 Accuracy: 0.718
Round: 10 f1_score: 0.7103997305279763
Round: 10 average_Acc_f1: 0.7141998652639882


Round: 20 Accuracy: 0.804
Round: 20 f1_score: 0.8016868757183792
Round: 20 average_Acc_f1: 0.8028434378591895


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


